time,content
2021-04-02 02:27:33,"amazon.com inc. (nasdaq: amzn) was reportedly exploring the possibility of opening a chain of brick-and-mortar retail stores to sell its unsold inventory at discounted prices in early 2020, but shelved the idea when the covid-19 pandemic took root.  the abandoned plans: according to a bloomberg report citing “two people familiar with the plans,” the e-commerce giant was considering a variety of options ranging from permanent retail locations to pop-up stores in malls and parking lots.  “it’s a way to be able to clean out warehouses, and get through inventory without having to destroy it,” said one of the unnamed people sourced for the report. “it is keeping with the value proposition of amazon, keeping price at the forefront and allowing customers to get access to products at low cost.”  amazon is not a stranger to brick-and-mortar retail: it first opened a bookstore chain in 2015 and later opened the cashier-less convenience store amazon go; the electronics and home goods store, amazon 4-star; and the amazon fresh grocery chain. the company currently operates 96 brick-and-mortar stores and seven mall pop-up stores under its brand and more than 500 whole foods market supermarkets.  related link: target to open apple mini-shops in its stores  a potential partnership: while the new report claimed the company turned its attention away from new brick-and-mortar operations because of the impact of the pandemic on traditional retailing, amazon had been approached during the middle of the pandemic to consider converting unused retail space into distribution hub warehouses.  last august, the wall street journal cited anonymous “people familiar with the matter” in reporting amazon was in talks with simon property group inc. (nyse: spg) to take over anchor department stores that became empty when major retailers including jcpenney (owned by simon) and sears holding corp. (otc: shldq) began to shut down their operations. at the time the article was published, the simon malls had 63 penney and 11 sears stores, with both companies winding down their retail presence after respective bankruptcy filings.  the article stated it was uncertain how many stores were being considered for amazon, which ultimately decided not to pursue the partnership.  related link: will target's new private-label grocery brand be a hit?  (photo by mike mozart / flickr creative commons)"
2021-04-03 19:36:59,"amazon drivers begin their delivery routes as workers at an amazon warehouse in staten island, new york prepare to walk off their jobs demanding stepped-up protection and pay after several workers at the facility were diagnosed with covid-19.  amazon issued an apology on friday to rep. mark pocan, d-wis., after mocking his claim that the company's drivers are sometimes forced to urinate in bottles during delivery rounds as a result of the demands of the job.  ""we know that drivers can and do have trouble finding restrooms because of traffic or sometimes rural routes, and this has been especially the case during covid when many public restrooms have been closed,"" the company wrote in a blog post.  the apology came after the democratic lawmaker last month condemned amazon's working conditions and union-busting efforts. approximately 5,800 workers at amazon's warehouse in bessemer, alabama, are awaiting an upcoming union vote, which is set to begin on tuesday. amazon has opposed the historic unionization effort, while pocan is among legislators who support it.  ""paying workers $15/hr doesn't make you a 'progressive workplace' when you union-bust & make workers urinate in water bottles,"" pocan wrote in the march 24 tweet that set off the controversy.  amazon responded by tweet: ""you don't really believe the peeing in bottles thing, do you? if that were true, nobody would work for us. the truth is that we have over a million incredible employees around the world who are proud of what they do, and have great wages and health care from day one.""  that exchange ignited a series of criticisms and a story from the intercept detailing how amazon managers frequently voiced concerns during meetings and in policy documents and emails about the issue of workers urinating while on delivery.  amazon on friday described its tweet as an ""own-goal"" because it did not account for the company's large driver population and instead focused on its fulfillment centers. the company also said the tweet didn't ""receive proper scrutiny"" and was incorrect, acknowledging that drivers do have difficulty finding restrooms.  ""regardless of the fact that this is industry-wide, we would like to solve it,"" the company said. ""we don't yet know how, but will look for solutions.""  watch: vote count begins in amazon's potential months-long union fight"
2021-04-03 18:13:19,"amazon drivers begin their delivery routes as workers at an amazon warehouse in staten island, new york prepare to walk off their jobs demanding stepped-up protection and pay after several workers at the facility were diagnosed with covid-19.  amazon issued an apology on friday to rep. mark pocan, d-wis., after mocking his claim that the company's drivers are sometimes forced to urinate in bottles during delivery rounds as a result of the demands of the job.  ""we know that drivers can and do have trouble finding restrooms because of traffic or sometimes rural routes, and this has been especially the case during covid when many public restrooms have been closed,"" the company wrote in a blog post.  the apology came after the democratic lawmaker last month condemned amazon's working conditions and union-busting efforts. approximately 5,800 workers at amazon's warehouse in bessemer, alabama, are awaiting an upcoming union vote, which is set to begin on tuesday. amazon has opposed the historic unionization effort, while pocan is among legislators who support it.  ""paying workers $15/hr doesn't make you a 'progressive workplace' when you union-bust & make workers urinate in water bottles,"" pocan wrote in the march 24 tweet that set off the controversy.  amazon responded by tweet: ""you don't really believe the peeing in bottles thing, do you? if that were true, nobody would work for us. the truth is that we have over a million incredible employees around the world who are proud of what they do, and have great wages and health care from day one.""  that exchange ignited a series of criticisms and a story from the intercept detailing how amazon managers frequently voiced concerns during meetings and in policy documents and emails about the issue of workers urinating while on delivery.  amazon on friday described its tweet as an ""own-goal"" because it did not account for the company's large driver population and instead focused on its fulfillment centers. the company also said the tweet didn't ""receive proper scrutiny"" and was incorrect, acknowledging that drivers do have difficulty finding restrooms.  ""regardless of the fact that this is industry-wide, we would like to solve it,"" the company said. ""we don't yet know how, but will look for solutions.""  watch: vote count begins in amazon's potential months-long union fight"
2021-04-03 17:19:44,"amazon.com, inc (nasdaq: amzn) has issued an apology to wisconsin congressman mark pocan over the issue of workers peeing into bottles.  what happened: amazon apologized for a tweet it posted on march 24 in response  pocan, who said the company makes ""workers urinate in water bottles.""  the company responded by saying, ""you don’t really believe the peeing in bottles thing, do you? if that were true, nobody would work for us.""on friday, amazon said this was a mistake: ""this was an own-goal, we’re unhappy about it, and we owe an apology to representative pocan.""  1/2 you don't really believe the peeing in bottles thing, do you? if that were true, nobody would work for us. the truth is that we have over a million incredible employees around the world who are proud of what they do, and have great wages and health care from day one. — amazon news (@amazonnews) march 25, 2021  the apology goes on to deny that its fulfillment centers have problems with workers and restroom breaks, while acknowledging that its drivers may have trouble finding restrooms ""because of traffic or sometimes rural routes"" especially during the pandemic.  ""this is a long-standing, industry-wide issue and is not specific to amazon,"" the company said.  why it matters: the march 24 tweet was met with quick criticism, and the apology isn't faring much better. the verge criticized it as ungenuine, noting that the apology is to the congressman, not workers, and for claiming the issue only concerns drivers.  amazon for years has faced accusations that workers are under so much pressure that they forgo bathroom breaks. the complaints have included both warehouse workers and drivers.  the company also is in the middle of a union battle, featuring what could be a landmark vote that has implications not just for amazon locations, but other tech companies in the u.s. as well. amazon's twitter activity on this front also has drawn heat.  photo: flickr/tony webster"
2021-04-03 16:27:24,"amazon has issued a rare public apology — but not to its workers, and with no real admission of guilt.  over a week ago, the company was caught publicly lying to rep. mark pocan (d-wi) that its workers never feel the need to pee in water bottles (which is, in fact, a well-documented issue at amazon because of how it robotically tracks and fires its laborers).  now, late on the friday evening before easter weekend, when few (hat tip to geekwire) are paying attention, the company is apologizing to pocan — and no one else. amazon only apologizes for not being “accurate” enough, too — not for actually creating and contributing to situations where workers pee in bottles.  the @amazonnews account didn’t bother to tweet any of this, btw  in fact, amazon goes so far as to suggest the whole pee bottle thing is simply a regrettable status quo, pointing out a handful of times when other companies’ delivery drivers were also caught peeing in bottles, as well as embedding a handful of random comments on twitter that happen to support amazon’s views. you can almost hear jeff bezos saying “why aren’t these people blaming ups and fedex? let’s get more people thinking about them instead.”  the blog post also strongly suggests that this is only an issue for delivery drivers, not amazon’s warehouse workers — even though a 2018 expose from an undercover reporter found amazon warehouse workers were also forced to skip bathroom breaks, and a worker who spoke to journalists just last week suggested bathroom breaks were still an issue in 2021. “you’re sitting there and you have to go take a piss, but you don’t want to rack up ‘time off task,’” she told motherboard.  amazon is currently facing a lawsuit over missed lunch breaks as well. and most importantly, all of this is happening in the shadow of an amazon union vote in bessemer, alabama that could help shape the future of labor in the united states, let alone at amazon.  amazon’s apology to pocan is the kind of memo that deserves to be annotated, line-by-line, partially because one of its lines is actually fairly good — “regardless of the fact that this is industry-wide, we would like to solve it. we don’t yet know how, but will look for solutions” — but because it’s past 1am here and it turns out the verge’s blockquote tool doesn’t let me embed tweets, i’ll just give you the primary guts for now:  on wednesday last week, the @amazonnews twitter account tweeted the following back to representative mark pocan: this was an own-goal, we’re unhappy about it, and we owe an apology to representative pocan. first, the tweet was incorrect. it did not contemplate our large driver population and instead wrongly focused only on our fulfillment centers. a typical amazon fulfillment center has dozens of restrooms, and employees are able to step away from their work station at any time. if any employee in a fulfillment center has a different experience, we encourage them to speak to their manager and we’ll work to fix it. second, our process was flawed. the tweet did not receive proper scrutiny. we need to hold ourselves to an extremely high accuracy bar at all times, and that is especially so when we are criticizing the comments of others. third, we know that drivers can and do have trouble finding restrooms because of traffic or sometimes rural routes, and this has been especially the case during covid when many public restrooms have been closed. this is a long-standing, industry-wide issue and is not specific to amazon. we’ve included just a few links below that discuss the issue. regardless of the fact that this is industry-wide, we would like to solve it. we don’t yet know how, but will look for solutions. we will continue to speak out when misrepresented, but we will also work hard to always be accurate. we apologize to representative pocan.  you can read the full version here. when you’re finished, perhaps check out motherboard’s interview with six female amazon delivery drivers, for whom the pee situation is obviously much worse."
2021-04-04 17:57:35,"if you have ever thought about traveling to the moon or to mars or even just to the earth’s atmosphere over 50 miles, that opportunity may be on the horizon.  elon musk’s spacex is selling tickets to travel around the earth. for only $1,000, you can put a deposit down on a space flight with virgin galactic (spce). jeff bezos, founder of amazon (amzn) has created blue origin, which is attracting space tourists.  however, if you are looking to invest in the space industry, there are many stocks to choose from but a better alternative may be to invest in one of the space etfs.  the exchange traded fund direxion moonshot innovators etf (moon), which is up 19.85% so far this year. it has an expense ratio of 0.65. it was established in november of last year.  procure space etf (ufo), founded in 2019, has increased by 18.99% this year. the expense ratio is 0.75.  spdr kensho final frontiers etf (rokt) has been around since 2018. it is up 5.27% so far this year, but it also pays a yield of 0.47%. it has an expense ratio of o.45.  the youngest space etf on the block is ark space exploration & innovation etf (arkx), which went public a couple days ago.  if you are looking for individual stocks, virgin galactic holdings, inc. (spce) and maxar technologies inc. (maxr) are a couple companies that appear in at least two of the space etfs.  hopefully, one of these etfs will take your portfolio to the moon."
2021-04-04 16:31:22,"new york (cnn business) for more than two decades, amazon has bulldozed over bricks-and-mortar businesses, hired and churned through vast numbers of workers and even pitted cities against each other to bid for its second headquarters, all in service to its seemingly bottomless thirst for growth and satisfying customers. its dominance was only further cemented in the last year by the pandemic, as households across the country leaned on the company for deliveries.  but if the company's recent public statements are any indication, a small town in alabama now has the tech giant on edge.  in the last week-and-a-half, as a milestone union election at an amazon warehouse in bessemer, alabama, came to a close, the company openly antagonized lawmakers and some behind the union effort.  executive dave clark swiped at bernie sanders ahead of a rally the senator was joining with some organizing workers in alabama last month. ""i often say we are the bernie sanders of employers, but that's not quite right because we actually deliver a progressive workplace,"" he said on twitter. clark also emphasized amazon's $15 hourly minimum wage -- a policy only introduced after sanders and others pressured the company in 2018.  after rep. mark pocan of wisconsin pointed out that the hourly pay ""doesn't make you a 'progressive workplace' when you union-bust & make workers urinate in water bottles,"" the company effectively kickstarted an entire news cycle with its response from a verified corporate twitter account: ""you don't really believe the peeing in bottles thing, do you?"" publications posted stories about amazon drivers urinating in bottles and defecating in bags on the job. amazon issued a blog post more than a week later regarding the tweet.the post, published late friday, said the tweet was ""an own-goal, we're unhappy about it, and we owe an apology to representative pocan."" furthermore, it said while the tweet was incorrect, the issue is ""not specific to amazon"" and blamed a ""flawed"" process in reviewing the tweet. ""we need to hold ourselves to an extremely high accuracy bar at all times, and that is especially so when we are criticizing the comments of others,"" the post said.  for his part, rep. pocan replied via tweet: ""sigh. this is not about me, this is about your workers.""  and in response to a recent cnn business story about what comes next in the bessemer effort once the final results of the union vote are announced, amazon responded with a statement calling the president of the union mobilizing the warehouse workers the ""chief disinformation officer."" in a later, separate statement, the company hit at the union, by citing declining membership as the impetus driving the union president to ""misrepresent the facts.""  when asked for comment, amazon spokesperson heather knox largely deferred to the blog post. additionally, knox said in a statement that the company doesn't believe the union ""represents the majority of our employees' views.""  ""our employees choose to work at amazon because we offer some of the best jobs available everywhere we hire, and we encourage anyone to compare our total compensation package, health benefits, and workplace environment to any other company with similar jobs,"" the statement continued.  the company's confrontational approach to public relations in recent days has surprised industry watchers, labor experts and some current and former employees. amazon employees for climate justice, a group of corporate employees that originally formed to advocate on climate issues, told cnn business in a statement that they are ""ashamed to see the aggressive tactics amazon's twitter account has taken recently.""  ""while workers are fighting for basic and important issues like workplace safety, amazon is focused on its fear of its own workers and lashing out at politicians. amazon is afraid because it knows that workers have power when we speak up together,"" the statement read.  faisal masud, who worked at amazon in the 2000s and helped to launch its warehouse deals program and its amazonbasics product line, said he ""found it a little unusual frankly, our pr posture was always very reserved, it wasn't to show off but to watch from the sidelines."" masud, who now helps brands compete with amazon as ceo of ecommerce startup fabric, said amazon is ""so large now, maybe they've taken a different approach on how to tackle some of these challenges.""  some industry watchers see in amazon's recent pr posture proof that the technology giant may be feeling newly vulnerable, given the potential for a fundamental upending of how it engages with its hundreds of thousands of us workers.  ""the very pettiness of the attack against bernie sanders, and the comments made about workers, make the company look like it is very worried. it doesn't mean that amazon is going to lose, but it does make it look like they're worried they're going to lose,"" said kate bronfenbrenner, director of labor education research and a senior lecturer at cornell university's school of industrial and labor relations.  likewise, daniel hanley, a reporter-policy analyst with the open markets institute, an advocacy group critical of big tech's influence and power, said amazon ""fears having a union because it knows it will lose the ability to exploit workers and that its operations will have checks and balances by the people who endure its decisions -- as it should be.""  (in a statement to cnn business, amazon's knox said: ""the fact is that amazon already offers what unions are requesting for employees: industry-leading pay, comprehensive benefits from the first day on the job, opportunities for career growth, all while working in a safe, modern work environment."")  but it's also easy to interpret the actions differently, especially considering how admired amazon is as a company and how well its business is performing. as american economic liberties project's matthew stoller put it recently, amazon may be acting like ""public jerks on twitter"" because the company is ""confident they will win the union election.""  according to the news outlet vox , the combative approach to critics was directed by amazon founder and outgoing ceo jeff bezos, who was reportedly displeased that there wasn't more pushback to public criticisms of the company.  bronfenbrenner said she expects there has been some frustration at amazon that touting policies like its $15 minimum wage hasn't been enough to convince workers and critics to lay off. masud also said he wonders whether the public pushback may come from a feeling that the company is being held to a different standard than competitors, such as walmart and target. (target boosted its minimum wage to $15 in 2020, while walmart recently bumped its average -- not minimum -- pay to $15.25 an hour; both have been notoriously anti-union.)  whatever its motivation may be, amazon's latest pr approach risks upsetting federal and local politicians at a time when it may need political goodwill. like other big tech companies, amazon faces scrutiny for alleged anti-competitive conduct and monopoly power -- and its growing dominance during the pandemic may only increase that scrutiny, according to dr. mary-hunter mcdonnell, professor of management at university of pennsylvania's wharton school of business.  at the same time, by vocally opposing a union push that has garnered national attention, amazon risks not only turning off some of its workers but also local politicians -- a group it may need if it wants to seek subsidies to build warehouses and offices in the future.  ""the labor play they are engaging in is a really poor, myopic strategy because as soon as you signal you're not going to support the people who work for your company locally, it has the threat of turning local policymakers against you as well,"" mcdonnell said."
2021-04-04 16:29:19,"amazon drivers begin their delivery routes as workers at an amazon warehouse in staten island, new york prepare to walk off their jobs demanding stepped-up protection and pay after several workers at the facility were diagnosed with covid-19.  amazon issued an apology on friday to rep. mark pocan, d-wis., after mocking his claim that the company's drivers are sometimes forced to urinate in bottles during delivery rounds as a result of the demands of the job.  ""we know that drivers can and do have trouble finding restrooms because of traffic or sometimes rural routes, and this has been especially the case during covid when many public restrooms have been closed,"" the company wrote in a blog post.  the apology came after the democratic lawmaker last month condemned amazon's working conditions and union-busting efforts. approximately 5,800 workers at amazon's warehouse in bessemer, alabama, are awaiting an upcoming union vote, which is set to begin on tuesday. amazon has opposed the historic unionization effort, while pocan is among legislators who support it.  ""paying workers $15/hr doesn't make you a 'progressive workplace' when you union-bust & make workers urinate in water bottles,"" pocan wrote in the march 24 tweet that set off the controversy.  amazon responded by tweet: ""you don't really believe the peeing in bottles thing, do you? if that were true, nobody would work for us. the truth is that we have over a million incredible employees around the world who are proud of what they do, and have great wages and health care from day one.""  that exchange ignited a series of criticisms and a story from the intercept detailing how amazon managers frequently voiced concerns during meetings and in policy documents and emails about the issue of workers urinating while on delivery.  amazon on friday described its tweet as an ""own-goal"" because it did not account for the company's large driver population and instead focused on its fulfillment centers. the company also said the tweet didn't ""receive proper scrutiny"" and was incorrect, acknowledging that drivers do have difficulty finding restrooms.  ""regardless of the fact that this is industry-wide, we would like to solve it,"" the company said. ""we don't yet know how, but will look for solutions.""  watch: vote count begins in amazon's potential months-long union fight"
2021-04-04 15:33:03,"one of the most common questions traders have about stocks is “why is it moving?” here’s the latest news and updates for microsoft, ge, pinterest and amazon.  microsoft corporation’s (msft) $21.9 billion deal with the u.s. army to build customized augmented reality headsets shows the company is tightening its hold over defense deals and gaining share over its rivals, said wedbush analyst daniel ives… read more  even as tech stocks have taken a hit amid rising yields, action updates by microsoft analysts were quiet in the month of march, with the most recent update coming from ives:  date research firm action current pt 3/31/21 wedbush maintains outperform 231.85 3/05/21 morgan stanley maintains overweight 290.0 2/16/21 wedbush maintains outperform 300.0 2/02/21 piper sandler reiterates overweight 300.0  one company that has been a decent investment in the past year has been industrial giant general electric company (ge).  ge has been a blue-chip stock in the u.s. for over a century and was one of the original dow jones industrial average components. but a difficult energy environment coupled with some questionable accounting… read more  social media company pinterest inc (pins) is in talks to acquire visual supply co., maker of the photo-editing app vsco, the new york times reports, citing two people familiar with the matter.  vsco was last valued at $550 million and recently raised $90 million in funding. pinterest has a market value of about $49 billion… read more"
2021-04-05 14:38:46,"the two women were among dozens of amazon workers who in the last year told the labor board about company retaliations, but in most other cases the workers had complained about pandemic safety.  “we support every employee’s right to criticize their employer’s working conditions, but that does not come with blanket immunity against our internal policies, all of which are lawful,” said jaci anderson, an amazon spokeswoman. “we terminated these employees not for talking publicly about working conditions, safety or sustainability but, rather, for repeatedly violating internal policies.”  claims of unfair labor practices at amazon have been common enough that the labor agency may turn them into a national investigation, the agency told nbc news. the agency typically handles investigations in its regional offices.  while amazon’s starting wage of $15 an hour is twice the federal minimum, its labor practices face heightened scrutiny in washington and elsewhere. the focus has escalated in the past year, as online orders surged during the pandemic and amazon expanded its u.s. work force to almost one million people. amazon’s warehouse employees are deemed essential workers and could not work from home.  this week, the national labor board is counting thousands of ballots that will determine whether almost 6,000 workers will form a union at an amazon warehouse outside birmingham, ala., in the largest and most viable labor threat in the company’s history. the union has said the workers face excessive pressure to produce and are intensely monitored by the company to make sure quotas are met."
2021-04-05 13:35:15,"the national labor relations board (nlrb) has found amazon illegally retaliated against two of its most outspoken internal critics when it fired them last year.  last april, amazon fired emily cunningham and maren costa, two former user experience designers, for ""repeatedly violating internal policies."" cunningham and costa argued they were fired in retaliation for their continued criticism of amazon.  the nlrb confirmed to cnbc that it found merit to cunningham and costa's unfair labor practice complaint, which was filed last october. if amazon doesn't agree to settle the case, the agency said it would file a complaint against amazon in the next few weeks and set a trial date in the coming months. news of the nlrb's decision was first reported by the new york times.  in a statement, amazon spokesperson jose negrete said the company disagrees with the nlrb's decision.  ""we support every employee's right to criticize their employer's working conditions, but that does not come with blanket immunity against our internal policies, all of which are lawful,"" negrete said. ""we terminated these employees not for the reasons cited in the preliminary finding, but because they repeatedly violated internal policies.""  costa and cunningham were members of the employee advocacy group amazon employees for climate justice, which has called on amazon to develop a comprehensive climate change plan, among other environmental initiatives.  during the coronavirus pandemic, costa and cunningham raised concerns about the company's treatment of warehouse workers and a lack of safety measures for front-line employees.  they also participated in a series of actions to pressure amazon to change how it responds to workers who speak out against its policies. last january, aecj organized hundreds of employees to intentionally violate amazon's external communications policy, which forbids employees from speaking about the company's business without approval from management.  in their complaint to the nlrb, costa and cunningham allege that amazon violated federal labor law by firing them ""based on discriminatory enforcement of policies or work rules, including its non-solicitation and communication policies.""  amazon's external communications policies also ""chill and restrain employees in the exercise"" of rights and activities that are protected by federal labor laws, according to the complaint, which was filed by a representative from the seattle chapter of the united food and commercial workers union.  the nlrb decision comes as amazon is staring down a closely-watched union vote at one of its alabama warehouses. the nlrb began counting votes last week and it could take a few days or weeks to reach an outcome.  the union vote is just the latest turning point in amazon's growing tensions with its frontline workforce. warehouse and delivery workers have raised concerns about a lack of coronavirus safety measures during the pandemic, along with other issues around working conditions.  a number of amazon employees who spoke out about pandemic working conditions have since filed complaints with the nlrb alleging the company illegally fired them, among other company retaliations. the nlrb has sided with the amazon workers in several cases, while other cases are ongoing.  enough amazon workers have filed charges against the company over the last year that the nlrb is considering launching a national investigation, nbc news reported last month.  -- reuters contributed to this report."
